Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
7.0,2.0,0.92,0.01,6.0,1.0
12.0,0.0,1.51,0.0,2.0,1.0
7.0,0.0,1.08,0.34,4.0,2.0
15.0,10.0,1.38,0.02,1.0,0.0
0.0,7.0,1.12,0.64,1.0,1.0
9.0,10.0,1.65,0.0,1.0,2.0
7.0,8.0,0.85,0.09,6.0,2.0
6.0,6.0,1.58,0.0,1.0,2.0
16.0,8.0,1.37,0.0,4.0,2.0
8.0,0.0,1.08,0.04,6.0,1.0
8.0,0.0,1.02,0.0,2.0,2.0
14.0,6.0,1.38,0.0,1.0,1.0
2.0,0.0,1.07,0.0,2.0,1.0
8.0,10.0,0.3,0.46,1.0,1.0
9.0,8.0,0.58,0.15,4.0,1.0
15.0,9.0,1.27,0.0,6.0,1.0
7.0,10.0,0.38,0.01,1.0,2.0
2.0,7.0,0.94,0.62,1.0,0.0
8.0,3.0,1.35,0.0,2.0,2.0
8.0,0.0,1.08,0.15,4.0,1.0
3.0,4.0,1.22,0.91,1.0,2.0
3.0,4.0,0.9,0.54,1.0,2.0
15.0,10.0,2.01,0.0,1.0,2.0
16.0,8.0,1.45,0.0,4.0,2.0
16.0,6.0,1.26,0.01,1.0,1.0
7.0,1.0,0.62,1.06,4.0,2.0
8.0,10.0,1.93,0.0,1.0,1.0
4.0,7.0,1.48,0.46,1.0,2.0
15.0,0.0,1.25,0.0,2.0,2.0
8.0,0.0,1.23,0.04,4.0,2.0
8.0,3.0,1.4,0.02,6.0,2.0
3.0,4.0,1.19,0.22,1.0,2.0
12.0,3.0,1.05,0.04,1.0,1.0
12.0,8.0,1.17,0.0,6.0,0.0
13.0,4.0,1.25,0.18,1.0,1.0
10.0,2.0,0.51,0.91,6.0,1.0
3.0,4.0,1.29,0.0,1.0,1.0
8.0,8.0,1.05,0.1,4.0,2.0
7.0,0.0,0.88,0.0,6.0,2.0
12.0,7.0,0.65,1.05,6.0,2.0
8.0,0.0,1.01,0.0,6.0,1.0
15.0,3.0,2.01,0.0,6.0,2.0
15.0,3.0,1.78,0.0,6.0,2.0
15.0,6.0,1.03,0.0,2.0,2.0
2.0,0.0,1.4,0.0,1.0,2.0
9.0,10.0,1.55,0.0,1.0,2.0
15.0,8.0,1.45,0.02,4.0,2.0
14.0,7.0,1.68,0.0,6.0,2.0
8.0,0.0,0.34,0.55,1.0,2.0
15.0,0.0,1.17,0.02,4.0,2.0
16.0,10.0,0.61,0.0,1.0,2.0
7.0,6.0,1.92,0.0,1.0,2.0
9.0,6.0,0.36,0.02,1.0,1.0
15.0,7.0,1.28,0.01,6.0,2.0
2.0,5.0,1.67,0.02,2.0,1.0
5.0,9.0,1.23,0.0,6.0,1.0
12.0,4.0,1.26,0.02,2.0,0.0
2.0,7.0,1.28,0.73,1.0,0.0
8.0,0.0,0.59,0.07,4.0,2.0
9.0,0.0,1.0,0.12,4.0,1.0
10.0,8.0,0.52,0.0,6.0,0.0
12.0,10.0,1.49,0.0,1.0,0.0
7.0,9.0,1.04,0.0,1.0,1.0
3.0,7.0,0.82,0.89,1.0,2.0
14.0,6.0,1.37,0.05,1.0,2.0
8.0,10.0,1.62,0.05,1.0,2.0
8.0,10.0,1.44,0.04,1.0,2.0
9.0,8.0,0.71,0.14,4.0,1.0
7.0,6.0,1.68,0.02,1.0,2.0
7.0,0.0,0.63,1.13,6.0,1.0
15.0,2.0,1.64,0.0,4.0,2.0
6.0,7.0,0.94,1.05,4.0,2.0
2.0,5.0,0.63,1.35,1.0,2.0
15.0,0.0,1.85,0.01,1.0,2.0
8.0,8.0,1.21,0.0,4.0,2.0
7.0,0.0,0.99,0.29,4.0,2.0
15.0,0.0,1.16,0.08,4.0,2.0
5.0,7.0,1.77,0.0,6.0,2.0
7.0,5.0,1.11,0.0,1.0,3.0
2.0,7.0,0.89,1.07,2.0,1.0
4.0,3.0,0.97,0.73,1.0,0.0
12.0,3.0,1.33,0.0,6.0,2.0
15.0,8.0,1.41,0.01,2.0,2.0
12.0,10.0,0.88,0.63,1.0,0.0
10.0,6.0,1.77,0.02,2.0,1.0
2.0,9.0,0.92,0.0,1.0,3.0
12.0,9.0,1.35,0.0,2.0,1.0
9.0,0.0,0.48,0.03,4.0,0.0
15.0,2.0,1.48,0.0,6.0,2.0
10.0,0.0,0.46,0.96,6.0,2.0
12.0,4.0,1.42,0.45,1.0,2.0
10.0,7.0,0.63,0.75,2.0,2.0
15.0,0.0,1.2,0.04,4.0,2.0
7.0,2.0,1.06,0.13,6.0,2.0
15.0,6.0,1.04,0.01,2.0,1.0
4.0,3.0,1.47,0.05,1.0,1.0
8.0,6.0,0.63,0.05,6.0,3.0
15.0,8.0,1.84,0.01,6.0,2.0
0.0,3.0,0.64,0.55,1.0,3.0
7.0,8.0,1.74,0.0,6.0,1.0
7.0,0.0,0.71,0.0,6.0,2.0
9.0,0.0,0.56,0.07,4.0,2.0
8.0,6.0,0.73,0.04,2.0,1.0
3.0,4.0,1.2,0.29,1.0,1.0
15.0,3.0,1.45,0.01,6.0,2.0
16.0,8.0,1.27,0.0,4.0,2.0
2.0,3.0,1.22,0.0,1.0,3.0
0.0,7.0,0.9,0.54,6.0,2.0
